file_type,sra_name,guid,fq1,fq2
ebi,ERR256953,,,
ebi,ERR256954,,,
ebi,ERR256955,,,
ebi,ERR256956,,,
ebi,ERR256957,,,
ebi,ERR256958,,,
ebi,ERR256959,,,
ebi,ERR256960,,,
ebi,ERR256961,,,
ebi,ERR256962,,,
ebi,ERR256963,,,
ebi,ERR256964,,,
ebi,ERR256965,,,
ebi,ERR256966,,,
ebi,ERR256967,,,
ebi,ERR256968,,,
ebi,ERR256969,,,
ebi,ERR256970,,,
ebi,ERR256971,,,
ebi,ERR256972,,,
ebi,ERR256973,,,
ebi,ERR256974,,,
ebi,ERR256975,,,
ebi,ERR256976,,,
ebi,ERR256977,,,
ebi,ERR256978,,,
ebi,ERR256979,,,
ebi,ERR256980,,,
ebi,ERR256981,,,
ebi,ERR256982,,,
ebi,ERR256983,,,
ebi,ERR256984,,,
ebi,ERR256985,,,
ebi,ERR256986,,,
ebi,ERR256987,,,
ebi,ERR256988,,,
ebi,ERR256989,,,
ebi,ERR256990,,,
ebi,ERR256991,,,
ebi,ERR257001,,,
ebi,ERR257002,,,
ebi,ERR257003,,,
ebi,ERR257004,,,
ebi,ERR257005,,,
ebi,ERR257006,,,
ebi,ERR257007,,,
ebi,ERR257008,,,
ebi,ERR257009,,,
ebi,ERR257010,,,
ebi,ERR257011,,,
ebi,ERR257012,,,
ebi,ERR257013,,,
ebi,ERR257014,,,
ebi,ERR257015,,,
ebi,ERR257016,,,
ebi,ERR257017,,,
ebi,ERR257018,,,
ebi,ERR257019,,,
ebi,ERR257020,,,
ebi,ERR257021,,,
ebi,ERR257022,,,
ebi,ERR257023,,,
ebi,ERR257024,,,
ebi,ERR257025,,,
ebi,ERR257026,,,
ebi,ERR257027,,,
ebi,ERR257028,,,
ebi,ERR257029,,,
ebi,ERR257030,,,
ebi,ERR257031,,,
ebi,ERR257032,,,
ebi,ERR257033,,,
ebi,ERR257044,,,
ebi,ERR257045,,,
ebi,ERR257046,,,
ebi,ERR257047,,,
ebi,ERR257048,,,
ebi,ERR257049,,,
ebi,ERR257050,,,
ebi,ERR257051,,,
ebi,ERR257052,,,
ebi,ERR257053,,,
ebi,ERR257054,,,
ebi,ERR257055,,,
ebi,ERR257056,,,
ebi,ERR257057,,,
ebi,ERR257058,,,
ebi,ERR257059,,,
ebi,ERR257060,,,
ebi,ERR257061,,,
ebi,ERR257062,,,
ebi,ERR257063,,,
ebi,ERR257064,,,
ebi,ERR257065,,,
ebi,ERR257066,,,
ebi,ERR257067,,,
ebi,ERR257068,,,
ebi,ERR257069,,,
ebi,ERR257070,,,
ebi,ERR257071,,,
ebi,ERR257072,,,
ebi,ERR257082,,,
ebi,ERR257083,,,
ebi,ERR257084,,,
ebi,ERR257085,,,
ebi,ERR248711,,,
ebi,ERR248712,,,
ebi,ERR248713,,,
ebi,ERR248714,,,
ebi,ERR248715,,,
ebi,ERR248716,,,
ebi,ERR248717,,,
ebi,ERR248718,,,
ebi,ERR248719,,,
ebi,ERR248720,,,
ebi,ERR248721,,,
ebi,ERR248722,,,
ebi,ERR248723,,,
ebi,ERR248724,,,
ebi,ERR248725,,,
ebi,ERR248726,,,
ebi,ERR248727,,,
ebi,ERR248728,,,
ebi,ERR248729,,,
ebi,ERR248730,,,
ebi,ERR248731,,,
ebi,ERR248732,,,
ebi,ERR248733,,,
ebi,ERR248734,,,
ebi,ERR248735,,,
ebi,ERR248736,,,
ebi,ERR248737,,,
ebi,ERR248738,,,
ebi,ERR248739,,,
ebi,ERR248740,,,
ebi,ERR248741,,,
ebi,ERR248742,,,
ebi,ERR248743,,,
ebi,ERR248744,,,
ebi,ERR248745,,,
ebi,ERR248746,,,
ebi,ERR248747,,,
ebi,ERR248748,,,
ebi,ERR248749,,,
ebi,ERR248750,,,
ebi,ERR248751,,,
ebi,ERR248752,,,
ebi,ERR248753,,,
ebi,ERR248754,,,
ebi,ERR248755,,,
ebi,ERR248756,,,
ebi,ERR248757,,,
ebi,ERR248758,,,
ebi,ERR248759,,,
ebi,ERR248760,,,
ebi,ERR248761,,,
ebi,ERR248762,,,
ebi,ERR248763,,,
ebi,ERR248764,,,
ebi,ERR248765,,,
ebi,ERR248766,,,
ebi,ERR248767,,,
ebi,ERR248768,,,
ebi,ERR248769,,,
ebi,ERR248770,,,
ebi,ERR248771,,,
ebi,ERR248772,,,
ebi,ERR248773,,,
ebi,ERR248774,,,
ebi,ERR248775,,,
ebi,ERR248776,,,
ebi,ERR248777,,,
ebi,ERR248778,,,
ebi,ERR251873,,,
ebi,ERR251874,,,
ebi,ERR251875,,,
ebi,ERR251876,,,
ebi,ERR251877,,,
ebi,ERR251713,,,
ebi,ERR251714,,,
ebi,ERR251715,,,
ebi,ERR251716,,,
ebi,ERR251717,,,
ebi,ERR251718,,,
ebi,ERR251719,,,
ebi,ERR251720,,,
ebi,ERR251721,,,
ebi,ERR251722,,,
ebi,ERR251723,,,
ebi,ERR251724,,,
ebi,ERR251725,,,
ebi,ERR251726,,,
ebi,ERR251727,,,
ebi,ERR251728,,,
ebi,ERR251729,,,
ebi,ERR251730,,,
ebi,ERR251731,,,
ebi,ERR251732,,,
ebi,ERR251733,,,
ebi,ERR251734,,,
ebi,ERR251735,,,
ebi,ERR251736,,,
ebi,ERR251737,,,
ebi,ERR251738,,,
ebi,ERR251739,,,
ebi,ERR251740,,,
ebi,ERR251741,,,
ebi,ERR251742,,,
ebi,ERR251743,,,
ebi,ERR251744,,,
ebi,ERR251745,,,
ebi,ERR251746,,,
ebi,ERR251747,,,
ebi,ERR251748,,,
ebi,ERR251749,,,
ebi,ERR251750,,,
ebi,ERR251751,,,
ebi,ERR251752,,,
ebi,ERR251753,,,
ebi,ERR251754,,,
ebi,ERR251755,,,
ebi,ERR251756,,,
ebi,ERR251757,,,
ebi,ERR251758,,,
ebi,ERR251759,,,
ebi,ERR251760,,,
