file_type,file_name
ebi,SRR6009853
ebi,SRR6009854
ebi,SRR6009855
ebi,SRR6009856
ebi,SRR6009857
ebi,SRR6009858
ebi,SRR6009859
ebi,SRR6009860
ebi,SRR6009861
ebi,SRR6009862
ebi,SRR6009863
ebi,SRR6009864
ebi,SRR6009865
ebi,SRR6009866
ebi,SRR6009867
ebi,SRR6009868
ebi,SRR6009869
ebi,SRR6009870
ebi,SRR6009871
ebi,SRR6009872
ebi,SRR6009873
ebi,SRR6009874
ebi,SRR6009875
ebi,SRR6009876
ebi,SRR6009877
ebi,SRR6009878
ebi,SRR6009879
ebi,SRR6009880
ebi,SRR6009881
ebi,SRR6009882
ebi,SRR6009883
ebi,SRR6009884
ebi,SRR6009885
ebi,SRR6009886
ebi,SRR6009887
ebi,SRR6009888
ebi,SRR6009889
ebi,SRR6009890
ebi,SRR6009891
ebi,SRR6009892
ebi,SRR6009893
ebi,SRR6009894
ebi,SRR6009895
ebi,SRR6009896
ebi,SRR6009897
ebi,SRR6009898
ebi,SRR6009899
ebi,SRR6009900
ebi,SRR6009901
ebi,SRR6009902
ebi,SRR6009903
ebi,SRR6009904
ebi,SRR6009905
ebi,SRR6009906
ebi,SRR6009907
ebi,SRR6009908
ebi,SRR6009909
ebi,SRR6009910
ebi,SRR6009911
ebi,SRR6009912
ebi,SRR6009913
ebi,SRR6009914
ebi,SRR6009915
ebi,SRR6009916
ebi,SRR6009917
